workclass,education,marital-status,occupation,relationship,sex,marital-status_index,workclass_index,relationship_index,occupation_index,education_index,sex_index
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,11,0
Private,HS-grad,Separated,Prof-specialty,Unmarried,Female,4,0,3,2,0,1
Federal-gov,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,0,6,0,2,1,0
Private,Assoc-voc,Never-married,Tech-support,Not-in-family,Male,1,0,1,10,4,0
Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,0,0,4,2,0
Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,5,0,4,0,0
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,Female,0,2,4,2,3,1
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,0,8,0,0
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Female,1,0,1,6,0,1
Private,7th-8th,"",Other-service,Unmarried,Female,"",0,3,5,8,1
Private,Bachelors,Never-married,Prof-specialty,Own-child,Female,1,0,2,2,2,1
Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,6,0,1,1,0
Self-emp-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,5,0,2,2,0
Private,11th,Divorced,Other-service,Unmarried,Female,2,0,3,5,5,1
Self-emp-not-inc,Some-college,Divorced,Machine-op-inspct,Not-in-family,Male,2,1,1,6,1,0
Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,Male,1,0,5,6,0,0
Private,HS-grad,Divorced,Sales,Not-in-family,Female,2,0,1,4,0,1
Private,HS-grad,Married-civ-spouse,Other-service,Husband,Male,0,0,0,5,0,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,1,0
Self-emp-not-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,Male,1,1,1,1,2,0
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,0,0,0
State-gov,Bachelors,Divorced,Adm-clerical,Not-in-family,Female,2,4,1,3,2,1
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,4,1,6,1
Private,Assoc-acdm,Never-married,Tech-support,Not-in-family,Male,1,0,1,10,6,0
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,2,0
Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,0,5,0,4,2,0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,0,0,0,0
Private,HS-grad,Widowed,Priv-house-serv,Not-in-family,Female,3,0,1,13,0,1
"","","","",Wife,Female,"","",4,"","",1
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,1,0,0,0,0
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,0,2,1,0
